rater_id,item_id,word,O,A,B
,ATTN_O,"attention check: enter O=100, A=0, B=0",,,
,ATTN_A,"attention check: enter O=0, A=100, B=0",,,
,ATTN_B,"attention check: enter O=0, A=0, B=100",,,
,MYS_001,altar,,,
,MYS_002,angel,,,
,MYS_003,blessing,,,
,MYS_004,prayer,,,
,MYS_005,temple,,,
,MYS_006,ritual,,,
,MYS_007,shrine,,,
,MYS_008,oracle,,,
,MYS_009,heaven,,,
,MYS_010,halo,,,
,MYS_011,covenant,,,
,MYS_012,incense,,,
,MYS_013,hymn,,,
,MYS_014,psalm,,,
,MYS_015,reverence,,,
,MYS_016,grace,,,
,MYS_017,devotion,,,
,MYS_018,omen,,,
,MYS_019,vow,,,
,MYS_020,mercy,,,
,MYS_021,saint,,,
,MYS_022,pilgrim,,,
,MYS_023,sacred,,,
,MYS_024,miracle,,,
,MYS_025,chapel,,,
,FAN_001,dragon,,,
,FAN_002,wizard,,,
,FAN_003,potion,,,
,FAN_004,castle,,,
,FAN_005,quest,,,
,FAN_006,fairy,,,
,FAN_007,portal,,,
,FAN_008,monster,,,
,FAN_009,sword,,,
,FAN_010,spell,,,
,FAN_011,giant,,,
,FAN_012,mermaid,,,
,FAN_013,unicorn,,,
,FAN_014,goblin,,,
,FAN_015,knight,,,
,FAN_016,kingdom,,,
,FAN_017,treasure,,,
,FAN_018,myth,,,
,FAN_019,legend,,,
,FAN_020,cloak,,,
,FAN_021,crown,,,
,FAN_022,forest,,,
,FAN_023,magic,,,
,FAN_024,hero,,,
,FAN_025,phantom,,,
,TEC_001,engine,,,
,TEC_002,circuit,,,
,TEC_003,sensor,,,
,TEC_004,voltage,,,
,TEC_005,bracket,,,
,TEC_006,piston,,,
,TEC_007,filter,,,
,TEC_008,router,,,
,TEC_009,buffer,,,
,TEC_010,camera,,,
,TEC_011,module,,,
,TEC_012,cable,,,
,TEC_013,signal,,,
,TEC_014,battery,,,
,TEC_015,printer,,,
,TEC_016,screw,,,
,TEC_017,valve,,,
,TEC_018,meter,,,
,TEC_019,ledger,,,
,TEC_020,server,,,
,TEC_021,packet,,,
,TEC_022,magnet,,,
,TEC_023,keypad,,,
,TEC_024,sample,,,
,TEC_025,switch,,,
,MUN_001,table,,,
,MUN_002,chair,,,
,MUN_003,window,,,
,MUN_004,carpet,,,
,MUN_005,dinner,,,
,MUN_006,blanket,,,
,MUN_007,grocery,,,
,MUN_008,garden,,,
,MUN_009,wallet,,,
,MUN_010,laundry,,,
,MUN_011,kettle,,,
,MUN_012,button,,,
,MUN_013,pencil,,,
,MUN_014,basket,,,
,MUN_015,sidewalk,,,
,MUN_016,mailbox,,,
,MUN_017,pillow,,,
,MUN_018,closet,,,
,MUN_019,bucket,,,
,MUN_020,towel,,,
,MUN_021,notebook,,,
,MUN_022,bottle,,,
,MUN_023,ticket,,,
,MUN_024,garage,,,
,MUN_025,drawer,,,
